district,timestamp,lat,lon,temp,feels_like,pressure,humidity,clouds,wind_speed,wind_deg,weather_main,weather_desc,PM2_5
Khan Na Yao,1742205600,13.8159,100.6669,306.3,311.31,1008,55,20,6.69,190,Clouds,few clouds,20.37
Saphan Sung,1741953600,13.761,100.6726,306.49,313.49,1011,74,5,5.09,188,Clear,clear sky,27.47
Saphan Sung,1742187600,13.761,100.6726,308.1,315.1,1011,76,11,3.19,151,Clouds,few clouds,32.39
Wang Thonglang,1741939200,13.7889,100.612,308.09,313.68,1008,50,50,4.94,184,Clouds,scattered clouds,24.18
Wang Thonglang,1741960800,13.7889,100.612,302.09,305.21,1011,67,25,5.51,184,Clouds,scattered clouds,47.78
Khlong Sam Wa,1741892400,13.8647,100.7351,302.05,309.05,1011,99,10,3.32,198,Clear,clear sky,14.14
Phra Nakhon,1741860000,13.7563,100.5018,307.55,313.94,1006,54,88,4.93,180,Clouds,overcast clouds,30.35
Phra Nakhon,1742068800,13.7563,100.5018,301.2,304.76,1009,76,100,4.29,188,Clouds,overcast clouds,30.71
Dusit,1741950000,13.7842,100.5117,307.53,312.75,1009,51,30,5.53,176,Clouds,scattered clouds,24.9
Bang Rak,1742317200,13.7259,100.5283,304.05,309.07,1012,65,37,3.75,167,Clouds,scattered clouds,78.99
Bang Khen,1742130000,13.8644,100.5843,304.12,306.76,1009,55,20,3.6,190,Clouds,few clouds,133.95
Bang Khen,1742137200,13.8644,100.5843,303.49,308.52,1010,68,20,3.6,190,Clouds,few clouds,81.06
Bang Kapi,1741892400,13.7554,100.6309,301.49,304.64,1009,71,17,3.87,189,Clouds,few clouds,57.47
Phra Khanong,1741856400,13.7088,100.6022,308.1,312.95,1006,48,80,5.06,182,Clouds,broken clouds,27.28
Phra Khanong,1742220000,13.7088,100.6022,304.11,308.94,1011,64,16,5.72,182,Clouds,few clouds,72.37
Min Buri,1741921200,13.8053,100.755,305.94,312.94,1013,82,99,3.18,190,Clouds,overcast clouds,24.64
Min Buri,1742256000,13.8053,100.755,300.61,305.65,1012,93,40,2.06,180,Clouds,scattered clouds,79.42
Lat Krabang,1741878000,13.7262,100.7562,302.89,309.89,1010,84,20,3.09,180,Clouds,few clouds,13.15
Yannawa,1741957200,13.6896,100.5369,303.12,307.88,1010,69,13,5.43,184,Clouds,few clouds,15.02
Samphanthawong,1742047200,13.7408,100.5137,303.09,306.9,1010,65,55,4.5,177,Clouds,broken clouds,40.32
Phaya Thai,1742274000,13.7719,100.5385,307.1,314.1,1012,58,45,2.58,121,Clouds,scattered clouds,119.97
Thon Buri,1742227200,13.7229,100.4907,303.13,308.38,1012,71,9,5.26,186,Clear,clear sky,29.52
Thon Buri,1742389200,13.7229,100.4907,304.34,305.13,1014,45,100,5.21,93,Clouds,overcast clouds,68.11
Bangkok Yai,1742148000,13.7314,100.4806,304.21,310.31,1009,68,36,5.46,188,Clouds,scattered clouds,52.62
Taling Chan,1742140800,13.7702,100.4429,304.56,310.92,1010,67,20,4.12,190,Clouds,few clouds,60.1
Taling Chan,1742317200,13.7702,100.4429,304.09,310.0,1012,68,20,2.57,140,Clouds,few clouds,78.99
Taling Chan,1742364000,13.7702,100.4429,308.58,311.5,1014,41,21,3.6,59,Clouds,few clouds,92.49
