district,timestamp,lat,lon,temp,feels_like,pressure,humidity,clouds,wind_speed,wind_deg,weather_main,weather_desc,PM2_5
Bang Phlat,1742328000,13.7951,100.5015,302.84,304.86,1012,57,20,1.54,110,Clouds,few clouds,98.68
Din Daeng,1742086800,13.7663,100.5562,303.7,310.7,1011,93,80,3.48,181,Clouds,broken clouds,32.44
Sathon,1742065200,13.7211,100.5289,301.2,304.62,1009,75,100,4.53,192,Clouds,overcast clouds,31.22
Chatuchak,1742032800,13.8166,100.5557,308.81,315.43,1008,50,20,4.12,200,Clouds,few clouds,65.15
Prawet,1741975200,13.7196,100.6698,302.65,309.65,1010,90,20,3.09,210,Clouds,few clouds,33.16
Khlong Toei,1741968000,13.7126,100.5582,302.09,305.57,1011,69,47,5.67,185,Clouds,scattered clouds,43.34
Khlong Toei,1742072400,13.7126,100.5582,301.22,304.81,1009,76,100,3.88,190,Clouds,overcast clouds,30.9
Suan Luang,1741942800,13.7212,100.6406,308.69,315.56,1008,51,43,4.94,183,Clouds,scattered clouds,22.25
Don Mueang,1741831200,13.9125,100.5989,306.44,313.42,1011,60,100,3.42,177,Clouds,overcast clouds,78.26
Don Mueang,1742083200,13.9125,100.5989,301.11,305.61,1010,83,20,2.57,170,Clouds,few clouds,66.59
Ratchathewi,1742119200,13.7547,100.5342,309.86,316.86,1006,50,36,6.28,159,Clouds,scattered clouds,44.36
